flight_id,airline,flight_no,origin,destination,departure_time,arrival_time,duration_minutes,stops,base_price,baggage_fee,seat_selection_fee,meal_fee,payment_fee,comfort_score,on_time_rate,query_date,outbound_date
API_20260701_001,台灣虎航,IT 202,TPE,NRT,14:25,18:35,190,0,8099,1000,250,300,150,3.0,0.65,2026-05-25,2026-07-01
API_20260701_002,酷航,TR 866,TPE,NRT,06:45,11:15,210,0,8336,1000,250,300,150,3.0,0.8,2026-05-25,2026-07-01
API_20260701_003,樂桃航空,MM 620,TPE,NRT,02:00,06:30,210,0,8480,1000,250,300,150,3.0,0.78,2026-05-25,2026-07-01
API_20260701_004,星宇航空,JX 804,TPE,NRT,15:00,19:25,205,0,10731,0,150,0,0,4.6,0.93,2026-05-25,2026-07-01
API_20260701_005,國泰航空,CX 450,TPE,NRT,13:00,17:15,195,0,12712,0,150,0,0,4.6,0.93,2026-05-25,2026-07-01
API_20260701_006,真航空,LJ 752,TPE,NRT,02:40,10:05,385,1,6183,1000,250,300,150,2.6,0.8,2026-05-25,2026-07-01
API_20260701_007,捷星日本航空,GK 54,TPE,NRT,18:20,09:05,825,1,8218,0,150,0,0,3.8,0.91,2026-05-25,2026-07-01
API_20260701_008,台灣虎航,IT 200,TPE,NRT,06:35,11:00,205,0,10299,1000,250,300,150,3.0,0.8,2026-05-25,2026-07-01
API_20260701_009,樂桃航空,MM 626,TPE,NRT,10:50,15:20,210,0,10680,1000,250,300,150,3.0,0.79,2026-05-25,2026-07-01
API_20260701_010,中華航空,CI 108,TPE,NRT,14:35,19:00,205,0,11792,0,150,0,0,4.4,0.9,2026-05-25,2026-07-01
API_20260701_011,中華航空,CI 106,TPE,NRT,16:25,20:50,205,0,11792,0,150,0,0,4.6,0.92,2026-05-25,2026-07-01
API_20260701_012,中華航空,CI 104,TPE,NRT,12:15,16:35,200,0,13102,0,150,0,0,5.0,0.89,2026-05-25,2026-07-01
API_20260701_013,長榮航空,BR 196,TPE,NRT,15:20,19:40,200,0,13699,0,150,0,0,4.6,0.93,2026-05-25,2026-07-01
API_20260701_014,泰國獅航,SL 394,TPE,NRT,12:10,16:30,200,0,13704,0,150,0,0,3.9,0.94,2026-05-25,2026-07-01
API_20260701_015,日本航空,JL 8664,TPE,NRT,12:45,17:15,210,0,14122,0,150,0,0,4.9,0.9,2026-05-25,2026-07-01
API_20260701_016,捷星日本航空,GK 14,TPE,NRT,13:10,17:35,205,0,16003,0,150,0,0,4.0,0.92,2026-05-25,2026-07-01
API_20260701_017,星宇航空,JX 800,TPE,NRT,08:30,12:55,205,0,16285,0,150,0,0,4.5,0.95,2026-05-25,2026-07-01
API_20260701_018,中華航空,CI 100,TPE,NRT,08:50,13:15,205,0,16362,0,150,0,0,4.8,0.93,2026-05-25,2026-07-01
API_20260701_019,長榮航空,BR 198,TPE,NRT,09:00,13:25,205,0,17139,0,150,0,0,4.5,0.93,2026-05-25,2026-07-01
API_20260701_020,日本航空,JL 802,TPE,NRT,10:25,14:55,210,0,21522,0,150,0,0,4.3,0.9,2026-05-25,2026-07-01
API_20260701_021,長榮航空,BR 184,TPE,NRT,07:55,12:25,210,0,23190,0,150,0,0,4.5,0.89,2026-05-25,2026-07-01
