flight_id,airline,flight_no,origin,destination,departure_time,arrival_time,duration_minutes,stops,price,total_price,adults,currency,route_detail,segment_detail,query_date,flight_date,data_source,_raw_fast_flights
SCR_20260526_001,Korean Air,,GMP,NRT,"7:00 AM on Tue, May 26","6:15 PM on Tue, May 26",675,1,5573.0,5573.0,1,TWD,GMP → 轉機(1次) → NRT,"GMP|7:00 AM on Tue, May 26|NRT|6:15 PM on Tue, May 26|11 小時 15 分鐘|包含 1 次轉機",2026-05-25,2026-05-26,Google Flights 爬蟲即時結果,"Flight(is_best=True, name='Korean Air', departure='7:00 AM on Tue, May 26', arrival='6:15 PM on Tue, May 26', arrival_time_ahead='', duration='11 hr 15 min', stops=1, delay=None, price='NT$5573')"
SCR_20260526_002,"Korean Air, JAL",,GMP,NRT,"9:15 AM on Tue, May 26","4:00 PM on Tue, May 26",405,1,10413.0,10413.0,1,TWD,GMP → 轉機(1次) → NRT,"GMP|9:15 AM on Tue, May 26|NRT|4:00 PM on Tue, May 26|6 小時 45 分鐘|包含 1 次轉機",2026-05-25,2026-05-26,Google Flights 爬蟲即時結果,"Flight(is_best=True, name='Korean Air, JAL', departure='9:15 AM on Tue, May 26', arrival='4:00 PM on Tue, May 26', arrival_time_ahead='', duration='6 hr 45 min', stops=1, delay=None, price='NT$10413')"
SCR_20260526_003,Korean Air,,GMP,NRT,"5:35 PM on Tue, May 26","6:15 PM on Wed, May 27",1480,1,5573.0,5573.0,1,TWD,GMP → 轉機(1次) → NRT,"GMP|5:35 PM on Tue, May 26|NRT|6:15 PM on Wed, May 27|24 小時 40 分鐘|包含 1 次轉機",2026-05-25,2026-05-26,Google Flights 爬蟲即時結果,"Flight(is_best=False, name='Korean Air', departure='5:35 PM on Tue, May 26', arrival='6:15 PM on Wed, May 27', arrival_time_ahead='+1', duration='24 hr 40 min', stops=1, delay=None, price='NT$5573')"
SCR_20260526_004,Korean Air,,GMP,NRT,"4:35 PM on Tue, May 26","6:15 PM on Wed, May 27",1540,2,7296.0,7296.0,1,TWD,GMP → 轉機(2次) → NRT,"GMP|4:35 PM on Tue, May 26|NRT|6:15 PM on Wed, May 27|25 小時 40 分鐘|包含 2 次轉機",2026-05-25,2026-05-26,Google Flights 爬蟲即時結果,"Flight(is_best=False, name='Korean Air', departure='4:35 PM on Tue, May 26', arrival='6:15 PM on Wed, May 27', arrival_time_ahead='+1', duration='25 hr 40 min', stops=2, delay=None, price='NT$7296')"
SCR_20260526_005,Korean Air,,GMP,NRT,"4:35 PM on Tue, May 26","6:15 PM on Wed, May 27",1540,2,7296.0,7296.0,1,TWD,GMP → 轉機(2次) → NRT,"GMP|4:35 PM on Tue, May 26|NRT|6:15 PM on Wed, May 27|25 小時 40 分鐘|包含 2 次轉機",2026-05-25,2026-05-26,Google Flights 爬蟲即時結果,"Flight(is_best=False, name='Korean Air', departure='4:35 PM on Tue, May 26', arrival='6:15 PM on Wed, May 27', arrival_time_ahead='+1', duration='25 hr 40 min', stops=2, delay=None, price='NT$7296')"
SCR_20260526_006,Korean Air,,GMP,NRT,"4:35 PM on Tue, May 26","6:15 PM on Wed, May 27",1540,2,7296.0,7296.0,1,TWD,GMP → 轉機(2次) → NRT,"GMP|4:35 PM on Tue, May 26|NRT|6:15 PM on Wed, May 27|25 小時 40 分鐘|包含 2 次轉機",2026-05-25,2026-05-26,Google Flights 爬蟲即時結果,"Flight(is_best=False, name='Korean Air', departure='4:35 PM on Tue, May 26', arrival='6:15 PM on Wed, May 27', arrival_time_ahead='+1', duration='25 hr 40 min', stops=2, delay=None, price='NT$7296')"
SCR_20260526_007,Korean Air,,GMP,NRT,"5:30 PM on Tue, May 26","6:15 PM on Wed, May 27",1485,2,7296.0,7296.0,1,TWD,GMP → 轉機(2次) → NRT,"GMP|5:30 PM on Tue, May 26|NRT|6:15 PM on Wed, May 27|24 小時 45 分鐘|包含 2 次轉機",2026-05-25,2026-05-26,Google Flights 爬蟲即時結果,"Flight(is_best=False, name='Korean Air', departure='5:30 PM on Tue, May 26', arrival='6:15 PM on Wed, May 27', arrival_time_ahead='+1', duration='24 hr 45 min', stops=2, delay=None, price='NT$7296')"
SCR_20260526_008,Korean Air,,GMP,NRT,"5:30 PM on Tue, May 26","6:15 PM on Wed, May 27",1485,2,7296.0,7296.0,1,TWD,GMP → 轉機(2次) → NRT,"GMP|5:30 PM on Tue, May 26|NRT|6:15 PM on Wed, May 27|24 小時 45 分鐘|包含 2 次轉機",2026-05-25,2026-05-26,Google Flights 爬蟲即時結果,"Flight(is_best=False, name='Korean Air', departure='5:30 PM on Tue, May 26', arrival='6:15 PM on Wed, May 27', arrival_time_ahead='+1', duration='24 hr 45 min', stops=2, delay=None, price='NT$7296')"
SCR_20260526_009,Korean Air,,GMP,NRT,"5:30 PM on Tue, May 26","6:15 PM on Wed, May 27",1485,2,7296.0,7296.0,1,TWD,GMP → 轉機(2次) → NRT,"GMP|5:30 PM on Tue, May 26|NRT|6:15 PM on Wed, May 27|24 小時 45 分鐘|包含 2 次轉機",2026-05-25,2026-05-26,Google Flights 爬蟲即時結果,"Flight(is_best=False, name='Korean Air', departure='5:30 PM on Tue, May 26', arrival='6:15 PM on Wed, May 27', arrival_time_ahead='+1', duration='24 hr 45 min', stops=2, delay=None, price='NT$7296')"
SCR_20260526_010,Korean Air,,GMP,NRT,"5:45 PM on Tue, May 26","6:15 PM on Wed, May 27",1470,2,7296.0,7296.0,1,TWD,GMP → 轉機(2次) → NRT,"GMP|5:45 PM on Tue, May 26|NRT|6:15 PM on Wed, May 27|24 小時 30 分鐘|包含 2 次轉機",2026-05-25,2026-05-26,Google Flights 爬蟲即時結果,"Flight(is_best=False, name='Korean Air', departure='5:45 PM on Tue, May 26', arrival='6:15 PM on Wed, May 27', arrival_time_ahead='+1', duration='24 hr 30 min', stops=2, delay=None, price='NT$7296')"
